,Kode,Nama Perusahaan,Tipe,Currency
0,AKPI,Argha Karya Prima Industry Tbk,Basic Materials,IDR
1,ALDO,Alkindo Naratama Tbk.,Basic Materials,IDR
2,ALKA,Alakasa Industrindo Tbk,Basic Materials,IDR
3,ALMI,Alumindo Light Metal Industry ,Basic Materials,USD
4,ANTM,Aneka Tambang Tbk.,Basic Materials,IDR
5,APLI,Asiaplast Industries Tbk.,Basic Materials,IDR
6,BAJA,Saranacentral Bajatama Tbk.,Basic Materials,IDR
7,BMSR,Bintang Mitra Semestaraya Tbk,Basic Materials,IDR
8,ADMG,Polychem Indonesia Tbk,Basic Materials,USD
9,AGII,Aneka Gas Industri Tbk.,Basic Materials,IDR
10,BRMS,Bumi Resources Minerals Tbk.,Basic Materials,USD
11,BRNA,Berlina Tbk.,Basic Materials,IDR
12,BRPT,Barito Pacific Tbk.,Basic Materials,USD
13,CITA,Cita Mineral Investindo Tbk.,Basic Materials,IDR
14,CLPI,Colorpak Indonesia Tbk.,Basic Materials,IDR
15,CTBN,Citra Tubindo Tbk.,Basic Materials,USD
16,DKFT,Central Omega Resources Tbk.,Basic Materials,IDR
17,DPNS,Duta Pertiwi Nusantara Tbk.,Basic Materials,IDR
18,EKAD,Ekadharma International Tbk.,Basic Materials,IDR
19,ESSA,Surya Esa Perkasa Tbk.,Basic Materials,USD
20,FASW,Fajar Surya Wisesa Tbk.,Basic Materials,IDR
21,FPNI,Lotte Chemical Titan Tbk.,Basic Materials,USD
22,GDST,Gunawan Dianjaya Steel Tbk.,Basic Materials,IDR
23,IGAR,Champion Pacific Indonesia Tbk,Basic Materials,IDR
24,INKP,Indah Kiat Pulp & Paper Tbk.,Basic Materials,USD
25,INRU,Toba Pulp Lestari Tbk.,Basic Materials,USD
26,INTD,Inter Delta Tbk,Basic Materials,IDR
27,INTP,Indocement Tunggal Prakarsa Tb,Basic Materials,IDR
28,IPOL,Indopoly Swakarsa Industry Tbk,Basic Materials,USD
29,ISSP,Steel Pipe Industry of Indones,Basic Materials,IDR
30,JKSW,Jakarta Kyoei Steel Works Tbk.,Basic Materials,IDR
31,KDSI,Kedawung Setia Industrial Tbk.,Basic Materials,IDR
32,KRAS,Krakatau Steel (Persero) Tbk.,Basic Materials,USD
33,LMSH,Lionmesh Prima Tbk.,Basic Materials,IDR
34,LTLS,Lautan Luas Tbk.,Basic Materials,IDR
35,MDKA,Merdeka Copper Gold Tbk.,Basic Materials,USD
36,NIKL,Pelat Timah Nusantara Tbk.,Basic Materials,USD
37,OKAS,Ancora Indonesia Resources Tbk,Basic Materials,USD
38,PICO,Pelangi Indah Canindo Tbk,Basic Materials,IDR
39,PSAB,J Resources Asia Pasifik Tbk.,Basic Materials,USD
40,SIMA,Siwani Makmur Tbk,Basic Materials,IDR
41,SMBR,Semen Baturaja (Persero) Tbk.,Basic Materials,IDR
42,SMCB,Solusi Bangun Indonesia Tbk.,Basic Materials,IDR
43,SMGR,Semen Indonesia (Persero) Tbk.,Basic Materials,IDR
44,SPMA,Suparma Tbk.,Basic Materials,IDR
45,SQMI,Wilton Makmur Indonesia Tbk.,Basic Materials,IDR
46,SRSN,Indo Acidatama Tbk,Basic Materials,IDR
47,SULI,SLJ Global Tbk.,Basic Materials,USD
48,TALF,Tunas Alfin Tbk.,Basic Materials,IDR
49,TBMS,Tembaga Mulia Semanan Tbk.,Basic Materials,USD
50,TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,Basic Materials,USD
51,TPIA,Chandra Asri Petrochemical Tbk,Basic Materials,USD
52,TRST,Trias Sentosa Tbk.,Basic Materials,IDR
53,UNIC,Unggul Indah Cahaya Tbk.,Basic Materials,USD
54,INCF,Indo Komoditi Korpora Tbk.,Basic Materials,IDR
55,WSBP,Waskita Beton Precast Tbk.,Basic Materials,IDR
56,KMTR,Kirana Megatara Tbk.,Basic Materials,IDR
57,MDKI,Emdeki Utama Tbk.,Basic Materials,IDR
58,ZINC,Kapuas Prima Coal Tbk.,Basic Materials,IDR
59,PBID,Panca Budi Idaman Tbk.,Basic Materials,IDR
60,TDPM,Tridomain Performance Material,Basic Materials,USD
61,SWAT,Sriwahana Adityakarta Tbk.,Basic Materials,IDR
62,MOLI,Madusari Murni Indah Tbk.,Basic Materials,IDR
63,HKMU,HK Metals Utama Tbk.,Basic Materials,IDR
64,KAYU,Darmi Bersaudara Tbk.,Basic Materials,IDR
65,SMKL,Satyamitra Kemas Lestari Tbk.,Basic Materials,IDR
66,GGRP,Gunung Raja Paksi Tbk.,Basic Materials,USD
67,OPMS,Optima Prima Metal Sinergi Tbk,Basic Materials,IDR
68,PURE,Trinitan Metals and Minerals T,Basic Materials,IDR
69,ESIP,Sinergi Inti Plastindo Tbk.,Basic Materials,IDR
70,IFSH,Ifishdeco Tbk.,Basic Materials,IDR
71,IFII,Indonesia Fibreboard Industry ,Basic Materials,IDR
72,AYLS,Agro Yasa Lestari Tbk.,Basic Materials,IDR
73,SAMF,Saraswanti Anugerah Makmur Tbk,Basic Materials,IDR
74,EPAC,Megalestari Epack Sentosaraya ,Basic Materials,IDR
75,PNGO,Pinago Utama Tbk.,Basic Materials,IDR
76,BEBS,Berkah Beton Sadaya Tbk.,Basic Materials,IDR
77,NPGF,Nusa Palapa Gemilang Tbk.,Basic Materials,IDR
78,ARCI,Archi Indonesia Tbk.,Basic Materials,USD
79,NICL,PAM Mineral Tbk.,Basic Materials,IDR
80,TINS,Timah Tbk.,Basic Materials,IDR
81,TIRT,Tirta Mahakam Resources Tbk,Basic Materials,IDR
82,PDPP,Primadaya Plastisindo Tbk.,Basic Materials,
83,BTON,Betonjaya Manunggal Tbk.,Basic Materials,IDR
84,SBMA,Surya Biru Murni Acetylene Tbk,Basic Materials,IDR
85,CMNT,Cemindo Gemilang Tbk.,Basic Materials,IDR
86,WTON,Wijaya Karya Beton Tbk.,Basic Materials,IDR
87,YPAS,Yanaprima Hastapersada Tbk,Basic Materials,IDR
88,INAI,Indal Aluminium Industry Tbk.,Basic Materials,IDR
89,INCI,Intanwijaya Internasional Tbk,Basic Materials,IDR
90,INCO,Vale Indonesia Tbk.,Basic Materials,USD
91,OBMD,OBM Drilchem Tbk.,Basic Materials,
92,AVIA,Avia Avian Tbk.,Basic Materials,IDR
93,KBRI,Kertas Basuki Rachmat Indonesi,Basic Materials,IDR
94,CHEM,Chemstar Indonesia Tbk.,Basic Materials,IDR
95,KKES,Kusuma Kemindo Sentosa Tbk.,Basic Materials,IDR
96,AKKU,Anugerah Kagum Karya Utama Tbk,Consumer Cyclicals,IDR
97,ARGO,Argo Pantes Tbk,Consumer Cyclicals,IDR
98,ARTA,Arthavest Tbk,Consumer Cyclicals,IDR
99,BATA,Sepatu Bata Tbk.,Consumer Cyclicals,IDR
100,BAYU,Bayu Buana Tbk,Consumer Cyclicals,IDR
101,BIMA,Primarindo Asia Infrastructure,Consumer Cyclicals,IDR
102,BLTZ,Graha Layar Prima Tbk.,Consumer Cyclicals,IDR
103,BOLT,Garuda Metalindo Tbk.,Consumer Cyclicals,IDR
104,BRAM,Indo Kordsa Tbk.,Consumer Cyclicals,USD
105,ABBA,Mahaka Media Tbk.,Consumer Cyclicals,IDR
106,ACES,Ace Hardware Indonesia Tbk.,Consumer Cyclicals,IDR
107,BUVA,Bukit Uluwatu Villa Tbk.,Consumer Cyclicals,IDR
108,CINT,Chitose Internasional Tbk.,Consumer Cyclicals,IDR
109,CNTX,Century Textile Industry Tbk.,Consumer Cyclicals,USD
110,CSAP,Catur Sentosa Adiprana Tbk.,Consumer Cyclicals,IDR
111,ECII,Electronic City Indonesia Tbk.,Consumer Cyclicals,IDR
112,ERAA,Erajaya Swasembada Tbk.,Consumer Cyclicals,IDR
113,ERTX,Eratex Djaja Tbk.,Consumer Cyclicals,USD
114,ESTI,Ever Shine Tex Tbk.,Consumer Cyclicals,USD
115,FAST,Fast Food Indonesia Tbk.,Consumer Cyclicals,IDR
116,FORU,Fortune Indonesia Tbk,Consumer Cyclicals,IDR
117,GDYR,Goodyear Indonesia Tbk.,Consumer Cyclicals,USD
118,GEMA,Gema Grahasarana Tbk.,Consumer Cyclicals,IDR
119,GJTL,Gajah Tunggal Tbk.,Consumer Cyclicals,IDR
120,GLOB,Globe Kita Terang Tbk.,Consumer Cyclicals,IDR
121,HDTX,Panasia Indo Resources Tbk.,Consumer Cyclicals,
122,HOME,Hotel Mandarine Regency Tbk.,Consumer Cyclicals,IDR
123,HOTL,Saraswati Griya Lestari Tbk.,Consumer Cyclicals,IDR
124,IIKP,Inti Agri Resources Tbk,Consumer Cyclicals,IDR
125,IKAI,Intikeramik Alamasri Industri ,Consumer Cyclicals,IDR
126,IMAS,Indomobil Sukses Internasional,Consumer Cyclicals,IDR
127,INDS,Indospring Tbk.,Consumer Cyclicals,IDR
128,JIHD,Jakarta International Hotels &,Consumer Cyclicals,IDR
129,KICI,Kedaung Indah Can Tbk,Consumer Cyclicals,IDR
130,KPIG,MNC Land Tbk.,Consumer Cyclicals,IDR
131,LMPI,Langgeng Makmur Industri Tbk.,Consumer Cyclicals,IDR
132,LPIN,Multi Prima Sejahtera Tbk,Consumer Cyclicals,IDR
133,LPPF,Matahari Department Store Tbk.,Consumer Cyclicals,IDR
134,MAMI,Mas Murni Indonesia Tbk,Consumer Cyclicals,IDR
135,MAPI,Mitra Adiperkasa Tbk.,Consumer Cyclicals,IDR
136,MASA,Multistrada Arah Sarana Tbk.,Consumer Cyclicals,USD
137,MDIA,Intermedia Capital Tbk.,Consumer Cyclicals,IDR
138,MICE,Multi Indocitra Tbk.,Consumer Cyclicals,IDR
139,MNCN,Media Nusantara Citra Tbk.,Consumer Cyclicals,IDR
140,MPMX,Mitra Pinasthika Mustika Tbk.,Consumer Cyclicals,IDR
141,MSKY,MNC Sky Vision Tbk.,Consumer Cyclicals,IDR
142,MYTX,Asia Pacific Investama Tbk.,Consumer Cyclicals,IDR
143,NIPS,Nipress Tbk.,Consumer Cyclicals,
144,PANR,Panorama Sentrawisata Tbk.,Consumer Cyclicals,IDR
145,PBRX,Pan Brothers Tbk.,Consumer Cyclicals,USD
146,PDES,Destinasi Tirta Nusantara Tbk,Consumer Cyclicals,IDR
147,PGLI,Pembangunan Graha Lestari Inda,Consumer Cyclicals,IDR
148,PJAA,Pembangunan Jaya Ancol Tbk.,Consumer Cyclicals,IDR
149,PNSE,Pudjiadi & Sons Tbk.,Consumer Cyclicals,IDR
150,POLY,Asia Pacific Fibers Tbk,Consumer Cyclicals,USD
151,PRAS,Prima Alloy Steel Universal Tb,Consumer Cyclicals,IDR
152,PSKT,Red Planet Indonesia Tbk.,Consumer Cyclicals,IDR
153,PTSP,Pioneerindo Gourmet Internatio,Consumer Cyclicals,IDR
154,RALS,Ramayana Lestari Sentosa Tbk.,Consumer Cyclicals,IDR
155,RICY,Ricky Putra Globalindo Tbk,Consumer Cyclicals,IDR
156,SCMA,Surya Citra Media Tbk.,Consumer Cyclicals,IDR
157,SHID,Hotel Sahid Jaya International,Consumer Cyclicals,IDR
158,SMSM,Selamat Sempurna Tbk.,Consumer Cyclicals,IDR
159,SONA,Sona Topas Tourism Industry Tb,Consumer Cyclicals,IDR
160,SRIL,Sri Rejeki Isman Tbk.,Consumer Cyclicals,USD
161,SSTM,Sunson Textile Manufacture Tbk,Consumer Cyclicals,IDR
162,TMPO,Tempo Intimedia Tbk.,Consumer Cyclicals,IDR
163,TRIO,Trikomsel Oke Tbk.,Consumer Cyclicals,
164,TRIS,Trisula International Tbk.,Consumer Cyclicals,IDR
165,TURI,Tunas Ridean Tbk.,Consumer Cyclicals,IDR
166,UNIT,Nusantara Inti Corpora Tbk,Consumer Cyclicals,IDR
167,VIVA,Visi Media Asia Tbk.,Consumer Cyclicals,IDR
168,JGLE,Graha Andrasentra Propertindo ,Consumer Cyclicals,IDR
169,BOGA,Bintang Oto Global Tbk.,Consumer Cyclicals,IDR
170,MAPB,MAP Boga Adiperkasa Tbk.,Consumer Cyclicals,IDR
171,WOOD,Integra Indocabinet Tbk.,Consumer Cyclicals,IDR
172,HRTA,Hartadinata Abadi Tbk.,Consumer Cyclicals,IDR
173,MABA,Marga Abhinaya Abadi Tbk.,Consumer Cyclicals,IDR
174,NASA,Andalan Perkasa Abadi Tbk.,Consumer Cyclicals,IDR
175,BELL,Trisula Textile Industries Tbk,Consumer Cyclicals,IDR
176,DFAM,Dafam Property Indonesia Tbk.,Consumer Cyclicals,IDR
177,PZZA,Sarimelati Kencana Tbk.,Consumer Cyclicals,IDR
178,MSIN,MNC Digital Entertainment Tbk.,Consumer Cyclicals,IDR
179,MAPA,Map Aktif Adiperkasa Tbk.,Consumer Cyclicals,IDR
180,NUSA,Sinergi Megah Internusa Tbk.,Consumer Cyclicals,IDR
181,FILM,MD Pictures Tbk.,Consumer Cyclicals,IDR
182,DIGI,Arkadia Digital Media Tbk.,Consumer Cyclicals,IDR
183,DUCK,Jaya Bersama Indo Tbk.,Consumer Cyclicals,IDR
184,YELO,Yelooo Integra Datanet Tbk.,Consumer Cyclicals,IDR
185,SOTS,Satria Mega Kencana Tbk.,Consumer Cyclicals,IDR
186,ZONE,Mega Perintis Tbk.,Consumer Cyclicals,IDR
187,CLAY,Citra Putra Realty Tbk.,Consumer Cyclicals,IDR
188,NATO,Surya Permata Andalan Tbk.,Consumer Cyclicals,IDR
189,HRME,Menteng Heritage Realty Tbk.,Consumer Cyclicals,IDR
190,FITT,Hotel Fitra International Tbk.,Consumer Cyclicals,IDR
191,BOLA,Bali Bintang Sejahtera Tbk.,Consumer Cyclicals,IDR
192,POLU,Golden Flower Tbk.,Consumer Cyclicals,IDR
193,IPTV,MNC Vision Networks Tbk.,Consumer Cyclicals,IDR
194,EAST,Eastparc Hotel Tbk.,Consumer Cyclicals,IDR
195,INOV,Inocycle Technology Group Tbk.,Consumer Cyclicals,IDR
196,SLIS,Gaya Abadi Sempurna Tbk.,Consumer Cyclicals,IDR
197,PMJS,Putra Mandiri Jembar Tbk.,Consumer Cyclicals,IDR
198,ESTA,Esta Multi Usaha Tbk.,Consumer Cyclicals,IDR
199,SBAT,Sejahtera Bintang Abadi Textil,Consumer Cyclicals,IDR
200,CBMF,Cahaya Bintang Medan Tbk.,Consumer Cyclicals,IDR
201,CSMI,Cipta Selera Murni Tbk.,Consumer Cyclicals,IDR
202,UANG,Pakuan Tbk.,Consumer Cyclicals,IDR
203,SOFA,Boston Furniture Industries Tb,Consumer Cyclicals,IDR
204,TOYS,Sunindo Adipersada Tbk.,Consumer Cyclicals,IDR
205,SCNP,Selaras Citra Nusantara Perkas,Consumer Cyclicals,IDR
206,PLAN,Planet Properindo Jaya Tbk.,Consumer Cyclicals,IDR
207,UFOE,Damai Sejahtera Abadi Tbk.,Consumer Cyclicals,IDR
208,SNLK,Sunter Lakeside Hotel Tbk.,Consumer Cyclicals,IDR
209,LFLO,Imago Mulia Persada Tbk.,Consumer Cyclicals,IDR
210,LUCY,Lima Dua Lima Tiga Tbk.,Consumer Cyclicals,
211,MGLV,Panca Anugrah Wisesa Tbk.,Consumer Cyclicals,IDR
212,TELE,Omni Inovasi Indonesia Tbk.,Consumer Cyclicals,IDR
213,TFCO,Tifico Fiber Indonesia Tbk.,Consumer Cyclicals,USD
214,KDTN,Puri Sentul Permai Tbk.,Consumer Cyclicals,
215,ZATA,Bersama Zatta Jaya Tbk.,Consumer Cyclicals,
216,IDEA,Idea Indonesia Akademi Tbk.,Consumer Cyclicals,IDR
217,DEPO,Caturkarda Depo Bangunan Tbk.,Consumer Cyclicals,IDR
218,CARS,Industri dan Perdagangan Bintr,Consumer Cyclicals,IDR
219,MINA,Sanurhasta Mitra Tbk.,Consumer Cyclicals,IDR
220,INDR,Indo-Rama Synthetics Tbk.,Consumer Cyclicals,USD
221,DRMA,Dharma Polimetal Tbk.,Consumer Cyclicals,IDR
222,ASLC,Autopedia Sukses Lestari Tbk.,Consumer Cyclicals,IDR
223,NETV,Net Visi Media Tbk.,Consumer Cyclicals,IDR
224,BAUT,Mitra Angkasa Sejahtera Tbk.,Consumer Cyclicals,
225,ENAK,Champ Resto Indonesia Tbk.,Consumer Cyclicals,IDR
226,BIKE,Sepeda Bersama Indonesia Tbk.,Consumer Cyclicals,IDR
227,JSPT,Jakarta Setiabudi Internasiona,Consumer Cyclicals,IDR
228,OLIV,Oscar Mitra Sukses Sejahtera T,Consumer Cyclicals,IDR
229,AUTO,Astra Otoparts Tbk.,Consumer Cyclicals,IDR
230,MARI,Mahaka Radio Integra Tbk.,Consumer Cyclicals,IDR
231,MKNT,Mitra Komunikasi Nusantara Tbk,Consumer Cyclicals,IDR
232,RAFI,Sari Kreasi Boga Tbk.,Consumer Cyclicals,IDR
233,KLIN,Klinko Karya Imaji Tbk.,Consumer Cyclicals,IDR
234,TOOL,Rohartindo Nusantara Luas Tbk.,Consumer Cyclicals,IDR
235,AISA,FKS Food Sejahtera Tbk.,Consumer Non-Cyclicals,IDR
236,ALTO,Tri Banyan Tirta Tbk.,Consumer Non-Cyclicals,IDR
237,AMRT,Sumber Alfaria Trijaya Tbk.,Consumer Non-Cyclicals,IDR
238,ANJT,Austindo Nusantara Jaya Tbk.,Consumer Non-Cyclicals,USD
239,BISI,BISI International Tbk.,Consumer Non-Cyclicals,IDR
240,AALI,Astra Agro Lestari Tbk.,Consumer Non-Cyclicals,IDR
241,ADES,Akasha Wira International Tbk.,Consumer Non-Cyclicals,IDR
242,BWPT,Eagle High Plantations Tbk.,Consumer Non-Cyclicals,IDR
243,CEKA,Wilmar Cahaya Indonesia Tbk.,Consumer Non-Cyclicals,IDR
244,CPIN,Charoen Pokphand Indonesia Tbk,Consumer Non-Cyclicals,IDR
245,CPRO,Central Proteina Prima Tbk.,Consumer Non-Cyclicals,IDR
246,DLTA,Delta Djakarta Tbk.,Consumer Non-Cyclicals,IDR
247,DSFI,Dharma Samudera Fishing Indust,Consumer Non-Cyclicals,IDR
248,DSNG,Dharma Satya Nusantara Tbk.,Consumer Non-Cyclicals,IDR
249,EPMT,Enseval Putera Megatrading Tbk,Consumer Non-Cyclicals,IDR
250,FISH,FKS Multi Agro Tbk.,Consumer Non-Cyclicals,USD
251,GGRM,Gudang Garam Tbk.,Consumer Non-Cyclicals,IDR
252,GOLL,Golden Plantation Tbk.,Consumer Non-Cyclicals,IDR
253,GZCO,Gozco Plantations Tbk.,Consumer Non-Cyclicals,IDR
254,HERO,Hero Supermarket Tbk.,Consumer Non-Cyclicals,IDR
255,HMSP,H.M. Sampoerna Tbk.,Consumer Non-Cyclicals,IDR
256,ICBP,Indofood CBP Sukses Makmur Tbk,Consumer Non-Cyclicals,IDR
257,JAWA,Jaya Agra Wattie Tbk.,Consumer Non-Cyclicals,IDR
258,JPFA,Japfa Comfeed Indonesia Tbk.,Consumer Non-Cyclicals,IDR
259,LSIP,PP London Sumatra Indonesia Tb,Consumer Non-Cyclicals,IDR
260,MAGP,Multi Agro Gemilang Plantation,Consumer Non-Cyclicals,IDR
261,MAIN,Malindo Feedmill Tbk.,Consumer Non-Cyclicals,IDR
262,MBTO,Martina Berto Tbk.,Consumer Non-Cyclicals,IDR
263,MIDI,Midi Utama Indonesia Tbk.,Consumer Non-Cyclicals,IDR
264,MLBI,Multi Bintang Indonesia Tbk.,Consumer Non-Cyclicals,IDR
265,MPPA,Matahari Putra Prima Tbk.,Consumer Non-Cyclicals,IDR
